contest_id,election_id,election_date,election_type,primary_party,question_text,question_type,office_id,office_name,office_modifier,district_id,district_type,district_name,candidate_id,candidate_name,retention_candidate_id,retention_candidate_name,division_id,division_type,division_name,vote_channel,is_winner,number_seats,candidate_party_id,candidate_party_name,votes
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,7,Yes,,,118,County,Lake,,true,1,,,1507
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,8,No,,,118,County,Lake,,false,1,,,986
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,3,Blank Votes,,,118,County,Lake,,false,1,,,183
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2,Total Votes Cast,,,118,County,Lake,,false,1,,,2493
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,1,Total Ballots Cast,,,118,County,Lake,,false,1,,,2676
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2780,Registered Voters,,,119,County,Larimer,,false,1,,,163858
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,7,Yes,,,119,County,Larimer,,false,1,,,53861
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,8,No,,,119,County,Larimer,,true,1,,,55707
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,3,Blank Votes,,,119,County,Larimer,,false,1,,,9641
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2,Total Votes Cast,,,119,County,Larimer,,false,1,,,109568
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,1,Total Ballots Cast,,,119,County,Larimer,,false,1,,,119209
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2780,Registered Voters,,,120,County,Las Animas,,false,1,,,9493
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,7,Yes,,,120,County,Las Animas,,false,1,,,2610
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,8,No,,,120,County,Las Animas,,true,1,,,2923
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,3,Blank Votes,,,120,County,Las Animas,,false,1,,,747
